Name,Weight_oz,Parent Container,Type,Category,Subcategory,Priority,Waterproof,Worn,Qty,Consumable,Star,Notes,Tags,Condition,Amazon_URL,Last_Used,Purchase_Date,Purchase_Price,Photo_URL,Scan_3D_URL,Serial_Number,Model_Number,Brand,Location_Room,Location_Detail
WLF Enduro Pack Vest,70.5,Body,Bag,Adventure,Storage,Medium,No,Yes,1,No,Yes,Not in heavy rotation lately — grabbed the Hyperlite instead on the recent Maine trip.,outdoor;storage;motorcycle;daily-carry;hydration;benched,Good,https://wlfenduro.com/products/the-pack-vest,2025-08-19,,,,,,,WLF Enduro,EDC,On person
TYT TD-H3,10.5,WLF Enduro Pack Vest,Tech,Tech,Electronics,Medium,No,No,1,No,No,"Primary radio. Scanner for local emergency services (situational awareness), receives local repeaters, GMRS mode bridges to friends with consumer walkie talkies. DMR/analog dual-band with GPS.",all-season;communications;digital;scanner;gmrs;situational-awareness,Good,,2025-08-19,,,,,,,TYT,Storage,WLF Enduro Pack Vest
Baofeng UV-5R with extended antenna,10.5,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,1,No,No,Archived - backup radio stored at home base,all-season;archived;communications,Good,,2025-08-19,,,,,,,,Storage,Home base
Motorcycle Repair Tools + Tire Plug Kit,30,WLF Enduro Pack Vest,Utility,Adventure,Utility,Medium,No,No,1,No,No,"Lives on back of WLF vest. OEM kit from Versys X 300 plus extra parts sized for the bike, tire plug kit, paracord, zip ties. Roadside self-rescue.",repair;tools;motorcycle;emergency;roadside,Good,,2025-08-19,,,,,,,Kawasaki,Storage,WLF Enduro Pack Vest
Sherpa 100AC Battery,,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,1,No,No,Emergency power for home outages and prep,emergency;home-storage,Good,,2025-08-19,,,,,,,,Storage,Home base
Fiskars Hatchet,21.8,5.11 Rush 72 Backpack,Utility,Adventure,Utility,Medium,No,No,1,No,No,Wilderness survival tool for hiking/bushcraft,hiking;survival;wilderness,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 72 Backpack
Large LED Light,16,5.11 Rush 24 Backpack,Utility,Adventure,Utility,Medium,No,No,5,No,No,5,lighting;emergency,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Workright Gloves,2.3,5.11 Rush 24 Backpack,Utility,Adventure,Utility,Medium,No,No,3,No,No,3,work;protection,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Trail Marking Tape,8.2,5.11 Rush 72 Backpack,Utility,Adventure,Utility,Low,No,No,1,No,No,Wilderness navigation and marking,hiking;survival;wilderness,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 72 Backpack
Black 20L Big River Dry Bag,94.17,MODULAR,Bag,Adventure,Storage,Medium,Yes,No,1,No,Yes,Modular sleep system - transfers between Rush 24/72,all-season;modular;sleep;sleep-module,Good,,2025-08-19,,,,,,,,Storage,Modular system
Nemo Pillow,9.7,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,3,No,No,3,sleep-module-component,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Silk Bag Liner,5.1,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,1,No,No,All that's needed on hot nights. Layer with Reactor liner + bag for super warm and comfy in cold.,sleep-module-component;summer;layering;ultralight,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Nemo Quasar 3D Regular Wide Insulated Sleeping Pad,29.8,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,1,No,Yes,3,sleep;camping,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Aerogogo Gigapump,3.8,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,1,No,No,Tiny electric pump for sleeping pad. Also doubles as bellows to stoke stubborn fires.,sleep;camping;fire;multi-use,Good,,2025-08-19,,,,,,,Aerogogo,Storage,Black 20L Big River Dry Bag
Sleeping Pad Inflator Bag,1.76,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,1,No,No,3,sleep;camping,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
REI Magma 30 Sleeping Bag,22.39,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,1,No,Yes,Ultralight down sleeping bag rated to 30F for three-season backpacking,3-season;backpacking;rush24;rush72;sleep-module-component;summer;down,Good,,2025-08-19,,,,,,,,Storage,Black 20L Big River Dry Bag
Reactor Insulated Bag Liner,12.34,Black 20L Big River Dry Bag,Sleep,Adventure,Sleep,Medium,No,No,1,No,No,Adds serious warmth. Silk liner + Reactor + bag = super warm and comfy layered sleep system for cold nights.,alpine;cold-weather;winter;layering;sleep-module-component,Good,https://www.amazon.com/gp/product/B0CT67MSSN/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,2025-08-19,,,,,,,Sea to Summit,Storage,Black 20L Big River Dry Bag
2L Dry Bag With Window,98,MODULAR,Sleep,Adventure,Sleep,Medium,Yes,No,1,No,Yes,Marmot Tungsten 2P standard tent + footprint + fly + stakes - modular camping system,all-season;modular;shelter;tent-module,Good,,2025-08-19,,,,,,,,Storage,Modular system
Dopp Kit,37.27,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Low,Yes,No,1,No,No,Full hygiene kit: bodywash/shampoo/conditioner bottles + Aesop accessories + grooming tools,all-season;hygiene;travel,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
First Aid Kit Dry Bag,13,5.11 Rush 24 Backpack,Safety,Adventure,Safety,Medium,Yes,No,1,No,No,5,medical;emergency,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Art Tools Case,20,HOME-BASE,Creativity,Creative,Art,Low,No,No,1,No,No,Non-waterproof case - more modular but rarely carried now,all-season;art;optional,Good,,2025-08-19,,,,,,,,Storage,Home base
Orange Ultra-sil 1L Dry Bag,10.58,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Low,Yes,No,1,No,No,Laundry kit: travel soap + sanitizer for multi-week motel sink washing,all-season;laundry;travel,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Hyperlite Cable Bag (1L),8,5.11 Rush 24 Backpack,Tech,Tech,Electronics,Medium,Yes,No,1,No,No,Replaced zipper bag - cables/adapters/connectors collection,all-season;cables;tech,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
DJI Action 5 Camera,5.1,2L Zippy,Tech,Tech,Electronics,Medium,Yes,No,1,No,No,"Set-and-forget video. High res, big SD card, extensible mounting. Put it somewhere and let it run for wide/establishing shots. Close work handled by iPhone or Fuji video mode.",all-season;photography;video;journalism;action-cam,Good,,2025-08-19,,,,,,,DJI,Storage,Timbuk2 Waist Pack
Power Bag (Black 2L),27,5.11 Rush 24 Backpack,Tech,Tech,Electronics,Medium,Yes,No,1,No,No,Apple MacBook charger block + USB-C cable for laptop power,all-season;computing;power,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Mosko Tent Pole Drybag,53,Motorcycle,Sleep,Adventure,Sleep,Low,Yes,No,1,No,No,3,camping;motorcycle,Good,,2025-08-19,,,,,,,,Vehicle,Motorcycle
Camping Grill,,5.11 Rush 24 Backpack,Food,Adventure,Kitchen,Low,No,No,1,No,No,Ultralight foldable grill for cooking over rocks and open flames,camping;cooking;ultralight,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Excedrin,1.1,5.11 Rush 24 Backpack,Safety,Adventure,Safety,Low,Yes,No,1,Yes,No,Pain reliever tablets for headaches and general pain management,medical;pain-relief;emergency,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Small Tripod + iPhone Holder,8.18,5.11 Rush 24 Backpack,Tech,Tech,Electronics,Optional,Yes,No,1,No,No,Compact aluminum tripod with phone mount for stable photography and video recording,photography;tripod;smartphone;stabilization,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Nidra Sleep Mask,0.69,5.11 Rush 24 Backpack,Sleep,Adventure,Sleep,Optional,No,No,1,No,No,Contoured 3D eye mask with deep cups for complete light blocking without eye pressure,sleep;light-blocking;travel;comfort,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Zumo XT GPS,9.72,Motorcycle,Tech,Tech,Electronics,Low,Yes,No,1,No,No,Rugged 5.5 motorcycle GPS with weather-resistant display and adventure routing,motorcycle;navigation;weatherproof;adventure,Good,,2025-08-19,,,,,,,,Vehicle,Motorcycle
Zippo Handwarmer,3,ARCHIVED,Comfort,Personal,Comfort,Low,No,No,1,Yes,No,Catalytic fuel-powered hand warmer providing 6-12 hours of flameless heat,warmth;catalytic;cold-weather;archived,Good,,2025-08-19,,,,,,,,Storage,Archived
Coffee Kit,35.27,MODULAR,Bag,Adventure,Storage,Low,Yes,No,1,No,No,Carabiner-attached modular coffee system with espresso container,all-season;coffee;coffee-module;modular,Good,,2025-08-19,,,,,,,,Storage,Modular system
Aeropress Go,10.97,Coffee Kit,Food,Adventure,Kitchen,Low,Yes,No,1,No,No,Portable espresso press with Brother metal filter adapter - no disposable filters needed,coffee;portable;travel;brewing;zero-waste,Good,,2025-08-19,,,,,,,,Storage,Coffee Kit
Jetboil,17,Coffee Kit,Food,Adventure,Kitchen,Low,Yes,No,1,No,No,Compact canister stove system for fast water boiling in field conditions,cooking;stove;boiling;camping,Good,,2025-08-19,,,,,,,,Storage,Coffee Kit
DJI Mic 3 System,45,2L Zippy,Tech,Tech,Electronics,Medium,No,No,1,No,No,Always-ready interview capability. Wireless lav with charging case and receiver - ensures any conversation can be properly captured. Worth the weight for journalism readiness.,all-season;audio;video;journalism;interview;wireless,Good,,2025-08-19,,,,,,,DJI,Storage,Timbuk2 Waist Pack
Anker Red Power Bank,12,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,1,No,No,Not used much anymore — mostly switched to the Anker MagSafe Qi pack. In the market to replace with a really nice ULTRALIGHT bank that has BOTH USB-A and USB-C out.,standby;replace-soon,Good,,2025-08-19,,,,,,,,Storage,Timbuk2 Waist Pack
Plastic Quart Espresso Container,2,Coffee Kit,Food,Adventure,Kitchen,Low,Yes,No,1,Yes,No,Pre-ground espresso storage for field brewing,all-season;coffee;storage,Good,,2025-08-19,,,,,,,,Storage,Coffee Kit
Meshtastic Lily T-Go,2.8,WLF Enduro Pack Vest,Tech,Tech,Electronics,Medium,No,No,1,No,No,Experimental mesh networking. Keep it on in case of encountering other users or emergency. Getting familiar with the tech - off-grid text messaging via LoRa when cell networks fail.,all-season;communications;mesh;lora;experimental;emergency,Good,,2025-08-19,,,,,,,LILYGO,Storage,WLF Enduro Pack Vest
Miyoo Mini,4.2,5.11 Rush 24 Backpack,Comfort,Personal,Comfort,Low,No,No,1,No,No,Retro gaming handheld for downtime entertainment,all-season;entertainment;gaming,Good,,2025-08-19,,,,,,,,Storage,5.11 Rush 24 Backpack
Flipper Zero,4.5,HOME-BASE,Tech,Tech,Electronics,Low,No,No,1,No,No,Multi-tool for radio analysis and hardware research - sometimes carried,all-season;optional;research,Good,,2025-08-19,,,,,,,,Storage,Home base
XPro-3 (Backup),28.9,HOME-BASE,Tech,Tech,Electronics,Medium,No,No,1,No,No,Backup camera body stored at home base,all-season;backup;photography,Good,,2025-08-19,,,,,,,,Storage,Home base
TP-7,,2L Zippy,Tech,Tech,,Medium,,,1,,,Field recorder,,,,,,,,,,,Teenage Engineering,,
CM-15,,2L Zippy,Tech,Tech,,Medium,,,1,,,Microphone,,,,,,,,,,,Teenage Engineering,,
Polarized Filters,,2L Zippy,Creativity,Creativity,,Medium,,,1,,,Lens filters for the kit,,,,,,,,,,,,,
Hyperlite Daybreak 22,,Body,Bag,Bag,,Medium,,,1,,,Current everyday/city pack — took over from Timbuk2 + WLF.,active;everyday,,,,,,,,,,Hyperlite Mountain Gear,,
Muji Pen/Notebook Case,,Body,Bag,Bag,,Medium,,,1,,,Current EDC writing kit holder. Size TBD — measure at capture (candidate Muji cases run ~170-210mm long).,active;edc,,,,,,,,,,Muji,,
UGLYBOOKS Mandy No.1,,Muji Pen/Notebook Case,Creativity,Creativity,,Medium,,,3,,,"Perfect-bound pocket notebook, 48pg, 146x102x6mm. Carried as a 3-pack.",edc,,,,,,,,,,UGLYBOOKS,,
Uni-ball Vision Rollerball (Fine 0.7mm),,Muji Pen/Notebook Case,Creativity,Creativity,,Medium,,,2,,,Fine 0.7mm rollerball — black + red ink.,edc,,,,,,,,,,Uni-ball,,
Tent Bag (Mosko 20L),,Motorcycle,Bag,Bag,,Medium,,,1,,,Windowed 20L dry bag that comes with the Reckless 80 system. Holds the tent + footprint + rainfly.,shelter,,,,,,,,,,Mosko Moto,,
Marmot Tungsten 2P,,Tent Bag (Mosko 20L),Sleep,Sleep,,Medium,,,1,,,"2-person tent, incl. rainfly. Bought during the 2017 cross-country roadtrip at an outdoors store in Savannah, GA — ~10+ yrs old. Packs too big; looking to replace with something that packs smaller. Poles live separately in the Mosko Tent Pole Drybag.",shelter;replace-soon,Aging (10+ yrs),,,2017,,,,,,Marmot,,
Tungsten 2P Footprint,,Tent Bag (Mosko 20L),Sleep,Sleep,,Medium,,,1,,,Groundsheet for the Marmot Tungsten 2P.,shelter,,,,,,,,,,Marmot,,
WLF MOLLE Rain Bag,,Body,Bag,Bag,,Medium,,,1,,,Dedicated rain-shell pouch (MOLLE) — moves between packs depending on weather + packout.,modular;active,,,,,,,,,,WLF,,
Patagonia Torrentshell 3L Jacket,,WLF MOLLE Rain Bag,Comfort,Comfort,,Medium,,,1,,,"Men's, Black, size M. 3L shell with pit zips. Bought from REI, Oct 2025 (confirmed via order email).",rain;active,Good,,,2025-10,,,,,,Patagonia,,
Nitecore Headlamp,,5.11 Rush 24 Backpack,Tech,Tech,,Medium,,,1,,,"Lightest/smallest Nitecore with a dedicated red-on button. Lives in its own tiny dry bag, usually the Rush 24 top pocket — grab-and-move. Model TBD.",active;modular,,,,,,,,,,Nitecore,,Top pocket — own tiny dry bag
Hydro Flask (20oz),,Hyperlite Daybreak 22,Utility,Utility,,Medium,,,1,,,"~20oz, black, old, sticker-covered, well-loved. Has its own MOLLE holder (standby) — lately just clipped into the Daybreak 22. Tends to default to disposable Smartwater bottles on the go (habit to break).",active;modular,Well-worn,,,,,,,,,Hydro Flask,,
Mini Watercolor Kit (Christmas gift),,Hyperlite Daybreak 22,Bag,Bag,,Medium,,,1,,,"Compact watercolor bundle gifted by my parents for Christmas — a roll/holder for a pencil, water brush, tiny summer palette, and an A5 Leuchtturm watercolour notebook.",active;art,,,,,,,,,,,,
Leuchtturm1917 A5 Watercolour Notebook,,Mini Watercolor Kit (Christmas gift),Creativity,Creativity,,Medium,,,1,,,"A5 (approx), watercolour paper.",active;art,,,,,,,,,,Leuchtturm1917,,
Tiny Summer Palette,,Mini Watercolor Kit (Christmas gift),Creativity,Creativity,,Medium,,,1,,,Small travel watercolor palette (summer colours).,active;art,,,,,,,,,,,,
Water Brush,,Mini Watercolor Kit (Christmas gift),Creativity,Creativity,,Medium,,,1,,,Refillable water brush — part of the mini watercolor kit.,active;art,,,,,,,,,,,,
Pencil,,Mini Watercolor Kit (Christmas gift),Creativity,Creativity,,Medium,,,1,,,Part of the mini watercolor kit. Brand TBD.,active;art,,,,,,,,,,,,
Anker MagSafe Qi Power Bank,,Body,Tech,Tech,,Medium,,,1,,,Magnetic Qi pack that snaps to the back of the iPhone — current daily charger. Model TBD.,active;edc;tech,,,,,,,,,,Anker,,
